Group,Metric,Budget,Actual,% to Goal,Match
Premium,Revenue Generated,"77,706",55368,0.712531851,FIR1007
Premium,Less Projected Expenses,-45847,-32667.12,0.712531851,FIR1007
Premium,Net Premium Revenue,31859,22701,0.712531851,FIR1007
Gross Per Cap,Merchandise Revenue,66467,53044,0.798053162,FIR1007
Gross Per Cap,Concessions Revenue,353334,236843,0.670308511,FIR1007
Gross Per Cap,Parking Revenue,155322,97413,0.627166865,FIR1007
Gross Per Cap,Total Gross Per Cap Revenue,575123,387300,0.673420734,FIR1007
Gross Per Cap,Merchandise Per Cap,4.74993211,4.577493959,0.963696713,FIR1007
Gross Per Cap,Concessions Per Cap,25.25043001,20.43864342,0.80943744,FIR1007
Gross Per Cap,Parking Per Cap,11.09984135,8.406368657,0.757341334,FIR1007
Gross Per Cap,Gross Per Cap,41.10020347,33.42250604,0.813195635,FIR1007
Net Per Cap,Merchandise Revenue,22689,23056,1.016191671,FIR1007
Net Per Cap,Concessions Revenue,65538,52467,0.800555981,FIR1007
Net Per Cap,Parking Revenue,69240,40201,0.58060313,FIR1007
Net Per Cap,Total Net Per Cap Revenue,157467,115724,0.734909988,FIR1007
Net Per Cap,Merchandise Per Cap,1.62140419,1.98964446,1.227111952,FIR1007
Net Per Cap,Concessions Per Cap,4.683575058,4.52770107,0.966719016,FIR1007
Net Per Cap,Parking Per Cap,4.948122493,3.469192268,0.701112851,FIR1007
Net Per Cap,Net Per Cap,11.25310174,9.986537798,0.88744757,FIR1007
Total,Total Net Matchday Revenue,547553,456896,0.834432882,FIR1007
